protein_id,chain,sequence_length
6xlt_A,A,639
6xm6_A,A,484
6xm7_A,A,488
6xm8_A,A,483
6xm9_A,A,479
6xma_A,A,479
6xmc_A,A,362
6xmh_A,A,356
6xmh_B,B,351
6xmk_B,B,302
6xml_A,A,353
6xml_B,B,358
6xmr_A,A,362
6xmr_B,B,362
6xmy_A,A,325
6xn0_A,A,325
6xn0_B,B,331
6xn1_A,A,329
6xn1_B,B,333
6xn2_A,A,330
6xn2_B,B,331
6xn8_A,A,540
6xn8_B,B,539
6xnq_A,A,389
6xnq_B,B,389
6xnq_C,C,389
6xnq_D,D,389
6xog_A,A,311
6xog_B,B,500
6xoi_A,A,311
6xoi_B,B,403
6xoy_B,B,396
6xpb_A,A,342
6xpp_A,A,426
6xpp_B,B,424
6xpp_C,C,425
6xpp_D,D,427
6xqs_A,A,306
6xqy_A,A,316
6xqy_B,B,326
6xr3_A,A,305
6xr5_A,A,392
6xr5_B,B,391
6xr5_C,C,386
6xr5_D,D,393
6xr5_E,E,386
6xr5_F,F,387
6xr5_G,G,393
6xr5_H,H,392
6xrh_B,B,396
6xrk_A,A,357
6xrk_B,B,357
6xru_A,A,309
6xru_B,B,393
6xrx_A,A,551
6xsj_A,A,476
6xsj_B,B,476
6xso_A,A,373
6xso_B,B,371
6xsu_A,A,348
6xsu_B,B,348
6xsv_A,A,476
6xsy_B,B,396
6xt0_B,B,396
6xt2_A,A,374
6xt2_B,B,374
6xt2_C,C,374
6xt2_D,D,374
6xtj_AAA,AAA,451
6xtl_A,A,303
6xtm_A,A,303
6xtn_A,A,303
6xto_A,A,303
6xtq_A,A,302
6xtr_A,A,303
6xts_A,A,303
6xu0_A,A,402
6xu0_B,B,401
6xue_A,A,516
6xue_B,B,514
6xui_A,A,556
6xui_B,B,556
6xui_C,C,556
6xui_D,D,556
6xum_A,A,316
6xup_A,A,402
6xup_B,B,401
6xuq_A,A,514
6xut_A,A,589
6xuu_A,A,589
6xuv_A,A,589
6xvj_A,A,305
6xvw_A,A,345
6xvw_B,B,346
6xw2_A,A,387
6xw5_A,A,305
6xw5_B,B,306
6xw6_A,A,304
6xw6_B,B,304
6xx6_A,A,330
6xx8_A,A,327
6xx8_B,B,334
6xx9_A,A,326
6xxh_A,A,330
6xxh_B,B,335
6xxi_A,A,329
6xxi_B,B,336
6xxj_A,A,355
6xxj_B,B,335
6xxk_A,A,354
6xxk_B,B,336
6xxl_A,A,336
6xxl_B,B,336
6xxm_A,A,355
6xxm_B,B,334
6xxw_A,A,578
6xy7_AAA,AAA,460
6xyz_A,A,309
6xzl_A,A,365
6xzn_A,A,365
6xzn_B,B,359
6y03_A,A,314
6y05_A,A,342
6y0b_A,A,348
6y0k_AAA,AAA,377
6y0n_A,A,327
6y0p_A,A,328
6y0r_AAA,AAA,468
6y12_A,A,330
6y1p_A,A,316
6y1u_A,A,301
6y1w_A,A,505
6y1w_B,B,493
6y2e_A,A,306
6y2f_A,A,303
6y2i_AAA,AAA,413
6y2i_BBB,BBB,413
6y2k_A,A,656
6y2u_A,A,350
6y3a_A,A,416
6y4i_E,E,316
6y4j_A,A,426
6y4t_A,A,341
6y4u_A,A,341
6y4v_A,A,343
6y4w_A,A,341
6y4x_A,A,351
6y6g_A,A,357
6y6i_A,A,358
6y6p_A,A,343
6y6u_A,A,493
6y6y_A,A,570
6y6y_B,B,586
6y6z_A,A,500
6y71_A,A,584
6y71_B,B,588
6y72_A,A,585
6y72_B,B,586
6y77_A,A,566
6y77_B,B,581
6y7d_A,A,570
6y7d_B,B,588
6y7e_A,A,572
6y7e_B,B,588
6y7m_AAA,AAA,306
6y7n_A,A,319
6y7n_B,B,319
6y7p_A,A,319
6y7w_A,A,344
6y7x_A,A,345
6y7y_A,A,343
6y7z_A,A,345
6y80_A,A,347
6y81_A,A,344
6y82_A,A,348
6y84_A,A,304
6y85_A,A,344
6y89_A,A,337
6y8c_A,A,337
6y8f_A,A,338
6y8h_A,A,344
6y8s_A,A,348
6y8y_A,A,571
6y9c_A,A,365
6y9d_A,A,352
6y9d_B,B,352
6y9d_C,C,352
6y9d_D,D,352
6y9d_E,E,352
6y9d_F,F,352
6y9d_G,G,352
6y9d_H,H,352
6y9d_I,I,352
6y9d_J,J,352
6y9d_K,K,352
6y9d_L,L,352
6ya1_A,A,328
6ya6_A,A,344
6ya7_A,A,350
6ya8_A,A,340
6yaj_AAA,AAA,303
6yaj_CCC,CCC,300
6yaj_DDD,DDD,311
6yak_BBB,BBB,311
6yak_DDD,DDD,311
6yao_A,A,453
6yap_A,A,451
6yaq_A,A,499
6yb7_A,A,305
6ybk_A,A,515
6ybo_A,A,385
6ybq_A,A,506
6ybq_B,B,506
6ybq_C,C,506
6ybq_D,D,506
6ybq_E,E,506
6ybq_F,F,506
6ybr_A,A,385
6ych_A,A,403
6yci_A,A,403
6ycj_A,A,403
6yck_A,A,403
6ycl_A,A,403
6ycm_A,A,402
6ycn_A,A,403
6yco_A,A,403
6ycp_A,A,403
6ycq_A,A,347
6ycq_B,B,343
6ycu_A,A,347
6ycw_A,A,344
6yd0_B,B,390
6yd0_D,D,515
6yd1_A,A,305
6yd2_A,A,473
6yd3_A,A,473
6yd4_A,A,473
6yd5_A,A,307
6yd6_A,A,307
6yd7_A,A,473
6ydi_B,B,389
6ydi_D,D,511
6ydu_B,B,389
6ydu_D,D,515
6ye0_A,A,341
6ye0_B,B,341
6ye6_A,A,341
6ye6_B,B,340
6ye7_A,A,341
6ye7_B,B,341
6ye8_A,A,342
6ye8_B,B,340
6yeb_A,A,341
6yeb_B,B,340
6yen_A,A,358
6yex_A,A,309
6yex_B,B,303
6yf4_A,A,580
6yf4_B,B,572
6yfw_A,A,372
6yfx_A,A,356
6yg9_A,A,568
6ygk_A,A,373
6ygl_A,A,362
6ygm_A,A,353
6ygo_A,A,370
6ygp_A,A,362
6ygr_A,A,356
6ygs_A,A,351
6ygv_A,A,367
6ygw_A,A,369
6ygx_A,A,348
6ygy_A,A,351
6ygz_A,A,348
6yh1_A,A,352
6yh2_A,A,365
6yh3_A,A,351
6yhd_A,A,367
6yhe_A,A,354
6yhh_A,A,655
6yhh_B,B,655
6yhn_A,A,459
6yhv_A,A,566
6yhv_B,B,566
6yi1_A,A,329
6yi1_B,B,329
6yi6_E,E,316
6yi9_A,A,619
6yii_A,A,473
6yiq_A,A,359
6yiq_B,B,366
6yir_A,A,366
6yjb_A,A,309
6yjc_A,A,337
6yje_A,A,416
6yjf_A,A,416
6yji_A,A,477
6yji_B,B,475
6yjq_AAA,AAA,486
6yjq_BBB,BBB,500
6yjs_AAA,AAA,470
6yjs_BBB,BBB,486
6yjt_AAA,AAA,513
6yjt_BBB,BBB,506
6yju_AAA,AAA,502
6yju_BBB,BBB,501
6yjv_AAA,AAA,504
6yjv_BBB,BBB,502
6yjy_A,A,329
6yjy_B,B,329
6yk7_A,A,341
6yk9_A,A,341
6yk9_B,B,341
6yk9_C,C,341
6yk9_E,E,341
6ykb_A,A,341
6ykb_C,C,341
6ykf_A,A,309
6yl3_1,1,563
6yl3_4,4,563
6yl3_7,7,563
6yl3_C,C,563
6yl3_F,F,563
6yl3_I,I,563
6yl3_L,L,563
6yl3_O,O,563
6yl3_R,R,563
6yl3_U,U,563
6yl3_V,V,563
6yl3_Y,Y,563
6yl6_A,A,303
6ylj_A,A,389
6ym4_A,A,321
6ym4_B,B,311
6ymd_A,A,420
6ymd_B,B,419
6yme_A,A,424
6ymf_A,A,418
6ymr_E,E,316
6yms_E,E,316
6yn2_A,A,310
6yn2_B,B,309
6yn4_A,A,389
6yn7_A,A,447
6yn7_B,B,447
6yn7_C,C,440
6yn7_D,D,440
6yna_A,A,349
6ynb_A,A,345
6ync_A,A,346
6ynd_A,A,333
6ynd_B,B,333
6ynd_C,C,333
6ynd_D,D,332
6ynd_E,E,333
6ynd_F,F,333
6ynd_G,G,332
6ynd_H,H,332
6yne_A,A,334
6yne_B,B,334
6yne_C,C,334
6yne_D,D,334
6ynq_A,A,306
6ynr_A,A,338
6ynt_A,A,343
6yot_A,A,350
6you_A,A,335
6yoz_AAA,AAA,399
6yoz_BBB,BBB,397
6yp1_AAA,AAA,401
6ypd_A,A,358
6ypg_A,A,327
6yph_A,A,326
6yph_B,B,327
6ypj_A,A,327
6ypk_A,A,327
6ypn_B,B,326
6ypo_A,A,312
6ypo_B,B,311
6ypp_A,A,335
6yps_A,A,335
6yq7_A,A,476
6yq7_B,B,476
6yq9_AAA,AAA,476
6yq9_BBB,BBB,476
6yqa_AAA,AAA,476
6yqa_BBB,BBB,476
6yqb_AAA,AAA,476
6yqb_BBB,BBB,476
6yqc_AAA,AAA,476
6yqc_BBB,BBB,476
6yqi_A,A,343
6yqj_A,A,346
6yqk_A,A,342
6yr4_A,A,306
6yr4_B,B,305
6yr4_C,C,306
6yr4_D,D,303
6yr4_E,E,306
6yr4_F,F,306
6yrc_A,A,306
6yrc_B,B,306
6yrc_C,C,306
6yrc_D,D,306
6yrc_E,E,306
6yrc_F,F,308
6yrd_A,A,305
6yrd_B,B,304
6yrd_C,C,306
6yrd_D,D,305
6yrd_E,E,305
6yrd_F,F,305
6yrj_A,A,306
6yrj_B,B,306
6yrj_C,C,306
6yrj_D,D,304
6yrj_E,E,305
6yrj_F,F,306
6yru_AAA,AAA,573
6yrv_AAA,AAA,573
6yrx_AAA,AAA,564
6yry_A,A,363
6yrz_AAA,AAA,564
6ys1_AAA,AAA,571
6ys2_AAA,AAA,561
6ys6_A,A,313
6ys6_B,B,312
6ys6_C,C,305
6ys9_A,A,381
6ys9_B,B,380
6ys9_C,C,378
6ys9_D,D,380
6ysb_A,A,339
6ysb_B,B,339
6ysk_A,A,360
6ysp_A,A,311
6ysp_B,B,312
6ysp_C,C,311
6yt2_A,A,500
6yt2_B,B,495
6ytd_A,A,339
6ytg_A,A,331
6ytp_AAA,AAA,497
6ytp_BBB,BBB,497
6ytr_AAA,AAA,497
6ytr_BBB,BBB,497
6ytw_A,A,349
6ytw_B,B,339
6yty_A,A,353
6ytz_A,A,351
6yu1_a,a,340
6yu1_c,c,350
6yu9_A,A,630
6yu9_B,B,628
6yu9_C,C,626
6yu9_D,D,628
6yuh_A,A,425
6yut_AAA,AAA,494
6yut_BBB,BBB,497
6yuw_A,A,360
6yux_A,A,342
6yuy_A,A,353
6yv0_A,A,359
6yv3_AAA,AAA,495
6yv3_BBB,BBB,496
6yv4_A,A,359
6yvb_A,A,311
6yvb_B,B,312
6yvb_C,C,324
6yvb_D,D,319
6yvb_E,E,312
6yvb_F,F,311
6yvf_A,A,306
6yvj_A,A,350
6yvj_B,B,344
6yw9_A,A,315
6yw9_B,B,311
6yw9_C,C,311
6ywn_A,A,339
6ywo_A,A,344
6ywo_B,B,343
6ywo_C,C,337
6ywo_D,D,340
6yxi_A,A,351
6yxs_A,A,359
6yy3_B,B,390
6yy3_D,D,515
6yyv_A,A,429
6yyx_A,A,429
6yyz_A,A,356
6yzh_A,A,344
6z01_A,A,512
6z01_B,B,508
6z08_A,A,335
6z0d_A,A,361
6z0k_A,A,472
6z19_B,B,328
6z1c_A,A,331
6z1s_A,A,381
6z2d_A,A,354
6z2e_AAA,AAA,306
6z2f_A,A,469
6z2f_B,B,474
6z2o_A,A,354
6z39_AAA,AAA,497
6z39_BBB,BBB,497
6z3c_AAA,AAA,379
6z3c_BBB,BBB,376
6z3i_BBB,BBB,497
6z44_A,A,335
6z4n_AAA,AAA,321
6z4n_BBB,BBB,318
6z50_A,A,333
6z51_A,A,351
6z53_A,A,351
6z54_A,A,351
6z55_A,A,358
6z55_B,B,357
6z56_A,A,329
6z57_A,A,329
6z58_A,A,329
6z59_A,A,328
6z5a_A,A,341
6z5b_A,A,330
6z5c_A,A,329
6z5d_A,A,329
6z5e_A,A,328
6z5o_AAA,AAA,716
6z68_A,A,363
6z68_B,B,357
6z69_A,A,357
6z69_B,B,364
6z6c_AAA,AAA,315
6z6c_BBB,BBB,317
6z6q_A,A,429
6z70_A,A,444
6z70_B,B,444
6z79_A,A,336
6z7a_A,A,359
6z7b_A,A,380
6z7b_B,B,378
6z7c_A,A,357
6z7d_A,A,359
6z7e_A,A,356
6z7t_A,A,726
6z7t_B,B,730
6z8g_A,A,346
6z8g_B,B,349
6z8h_A,A,351
6z8h_B,B,350
6z8l_A,A,495
6z9d_A,A,514
6za6_A,A,435
6za6_B,B,451
6za6_C,C,435
6za6_D,D,437
6zae_A,A,328
6zaf_A,A,329
6zag_A,A,329
6zah_A,A,329
6zai_A,A,328
6zaj_A,A,328
6zak_A,A,328
6zal_A,A,329
6zam_A,A,328
6zan_A,A,328
6zao_A,A,328
6zap_A,A,329
6zaq_A,A,328
6zar_A,A,345
6zas_A,A,345
6zat_A,A,345
6zau_A,A,345
6zav_A,A,345
6zaw_A,A,345
6zax_A,A,345
6zb8_A,A,367
6zb8_B,B,370
6zba_AAA,AAA,324
6zba_BBB,BBB,334
6zba_CCC,CCC,334
6zba_DDD,DDD,324
6zbm_A,A,330
6zbw_A,A,330
6zbw_B,B,335
6zbx_A,A,337
6zbx_B,B,337
6zcv_A,A,562
6zcw_A,A,562
6zdk_AAA,AAA,362
6zdl_AAA,AAA,359
6zdm_AAA,AAA,383
6zdr_A,A,383
6ze2_A,A,585
6ze2_B,B,585
6ze4_A,A,585
6ze4_B,B,584
6ze5_A,A,585
6ze5_B,B,585
6ze6_A,A,585
6ze6_B,B,584
6ze7_A,A,584
6ze7_B,B,586
6ze8_A,A,365
6ze8_B,B,365
6ze8_C,C,365
6ze8_D,D,365
6ze8_E,E,365
6ze8_F,F,365
6zea_A,A,308
6zeg_A,A,311
6zeg_B,B,308
6zeh_A,A,304
6zeh_B,B,308
6zei_A,A,305
6zei_B,B,307
6zej_A,A,348
6zej_D,D,348
6zej_F,F,348
6zej_I,I,351
6zej_L,L,348
6zej_O,O,351
6zep_A,A,341
6zeq_A,A,301
6zfa_AAA,AAA,358
6zfn_AAA,AAA,354
6zfq_AAA,AAA,346
6zgx_A,A,391
6zgx_B,B,391
6zgx_D,D,359
6zgx_E,E,391
6zh7_A,A,563
6zh7_B,B,562
6zhk_A,A,438
6zhk_B,B,438
6zho_A,A,577
6zhv_A,A,341
6zhv_B,B,341
6zhv_C,C,340
6zis_A,A,569
6ziv_AAA,AAA,426
6ziv_BBB,BBB,447
6ziv_CCC,CCC,446
6ziv_DDD,DDD,448
6ziv_EEE,EEE,443
6ziv_FFF,FFF,441
6ziv_GGG,GGG,440
6ziv_HHH,HHH,401
6zj1_AAA,AAA,362
6zj6_AAA,AAA,360
6zja_B,B,568
6zja_D,D,568
6zja_F,F,568
6zja_H,H,568
6zja_J,J,568
6zja_L,L,568
6zja_N,N,568
6zja_P,P,568
6zja_R,R,568
6zja_T,T,568
6zja_V,V,568
6zja_X,X,568
6zjk_A,A,317
6zjk_B,B,316
6zjk_C,C,316
6zjk_D,D,315
6zk1_A,A,316
6zk1_B,B,317
6zk1_C,C,316
6zk1_D,D,316
6zk3_A,A,319
6zk3_B,B,318
6zk3_C,C,318
6zk3_D,D,317
6zk3_E,E,316
6zk3_F,F,317
6zk4_A,A,316
6zk4_B,B,317
6zk4_C,C,317
6zk4_D,D,316
6zk5_A,A,316
6zk5_B,B,316
6zk8_A,A,410
6zk8_O,O,410
6zl6_A,A,314
6zl6_B,B,314
6zl7_A,A,317
6zl7_B,B,320
6zld_A,A,314
6zld_B,B,314
6zlf_A,A,409
6zlf_F,F,408
6zlf_G,G,408
6zlf_H,H,408
6zlf_I,I,408
6zlf_J,J,408
6zlf_K,K,408
6zlf_L,L,410
6zlj_A,A,314
6zlj_B,B,314
6zlk_A,A,315
6zlk_B,B,315
6zlk_C,C,315
6zlk_D,D,315
6zll_A,A,321
6zll_B,B,315
6zll_C,C,315
6zll_D,D,321
6zln_A,A,338
6zmz_AAA,AAA,397
6zn0_A,A,335
6zn1_AAA,AAA,400
6zn4_A,A,406
6zn4_B,B,408
6zn7_A,A,405
6zn7_B,B,411
6znt_A,A,336
6znt_B,B,337
6znt_C,C,336
6znt_D,D,336
6znt_E,E,338
6znt_F,F,338
6zny_CCC,CCC,568
6znz_CCC,CCC,568
6zo1_CCC,CCC,568
6zo2_CCC,CCC,568
6zo3_CCC,CCC,568
6zpq_A,A,608
6zpq_B,B,605
6zpq_C,C,605
6zpq_D,D,607
6zps_AAA,AAA,627
6zpu_A,A,587
6zpv_AAA,AAA,627
6zpw_AAA,AAA,627
6zpx_AAA,AAA,627
6zpy_AAA,AAA,627
6zpz_AAA,AAA,627
6zq0_AAA,AAA,627
6zq1_AAA,AAA,627
6zqs_A,A,348
6zqz_A,A,339
6zqz_B,B,337
6zqz_C,C,327
6zqz_D,D,336
6zrb_A,A,425
6zrk_C,C,328
6zrv_A,A,371
6zrx_AAA,AAA,356
6zrx_BBB,BBB,353
6zrx_CCC,CCC,360
6zrx_DDD,DDD,360
6zry_AAA,AAA,350
6zry_BBB,BBB,355
6zrz_AAA,AAA,357
6zrz_BBB,BBB,353
6zs0_AAA,AAA,359
6zs0_BBB,BBB,350
6zsl_A,A,572
6zsl_B,B,585
6zsm_A,A,398
6zsp_AAA,AAA,319
6zsp_BBB,BBB,318
6zsu_B,B,300
6zt3_A,A,394
6zt7_A,A,491
6zt7_B,B,491
6zt7_C,C,491
6zt9_A,A,493
6zt9_B,B,491
6zt9_C,C,492
6zti_A,A,465
6zti_B,B,466
6zti_C,C,464
6zti_D,D,466
6ztv_A,A,725
6ztv_B,B,725
6ztv_C,C,725
6ztv_D,D,725
6ztw_A,A,725
6ztw_B,B,725
6ztw_C,C,725
6ztw_D,D,725
6ztw_E,E,725
6ztw_F,F,725
6ztw_G,G,726
6ztw_H,H,725
6ztx_A,A,727
6ztx_B,B,727
6ztx_C,C,727
6ztx_D,D,727
6zu6_A,A,333
6zua_A,A,333
6zub_A,A,333
6zud_A,A,333
6zuj_AAA,AAA,321
6zuj_BBB,BBB,307
6zuj_CCC,CCC,322
6zuj_DDD,DDD,316
6zut_A,A,333
6zuv_A,A,355
6zvl_A,A,348
6zvm_AAA,AAA,425
6zw1_A,A,354
6zw8_A,A,329
6zwb_A,A,437
6zwb_B,B,431
6zwf_A,A,352
6zwh_A,A,351
6zwi_A,A,527
6zwj_A,A,351
6zwp_A,A,328
6zwr_A,A,338
6zx4_A,A,351
6zxq_A,A,410
6zxu_A,A,701
6zxu_B,B,693
6zxu_C,C,692
6zxv_A,A,325
6zxv_B,B,323
6zxx_A,A,700
6zxx_B,B,695
6zxx_C,C,696
6zy1_A,A,700
6zy1_B,B,696
6zy1_C,C,695
6zyh_A,A,379
6zyh_B,B,379
6zyi_A,A,375
6zyj_A,A,380
6zyj_B,B,380
6zz2_A,A,330
6zz5_AAA,AAA,356
6zz5_BBB,BBB,360
6zzh_AAA,AAA,361
6zzh_BBB,BBB,360
7a03_A,A,493
7a03_B,B,494
7a06_A,A,354
7a0b_A,A,375
7a0c_A,A,498
7a0c_B,B,498
7a0q_A,A,324
7a0t_A,A,325
7a0t_B,B,326
7a12_A,A,366
7a16_A,A,365
7a19_A,A,339
7a19_B,B,339
7a1a_A,A,339
7a1a_B,B,339
7a1b_A,A,327
7a1f_A,A,328
7a1f_L,L,334
7a1j_A,A,335
7a1k_A,A,335
7a1p_A,A,338
7a1q_A,A,338
7a1u_A,A,305
7a1z_A,A,328
7a22_A,A,328
7a28_A,A,333
7a28_B,B,332
7a2f_A,A,333
7a2f_B,B,332
7a2h_A,A,325
7a3h_A,A,300
7a3v_A,A,371
7a3x_A,A,360
7a4k_A,A,382
7a4o_A,A,340
7a4o_B,B,340
7a4q_A,A,327
7a4r_A,A,335
7a4r_B,B,331
7a4u_A,A,523
7a4v_A,A,521
7a4z_A,A,330
7a51_A,A,330
7a56_A,A,419
7a5d_A,A,330
7a5e_A,A,338
7a5e_B,B,335
7a5v_A,A,335
7a5x_A,A,472
7a5x_B,B,472
7a6d_A,A,372
7a6g_A,A,303
7a6s_A,A,334
7a6s_B,B,335
7a6t_A,A,335
7a6t_B,B,327
7a73_A,A,334
7a76_A,A,326
7a76_B,B,326
7a76_C,C,325
7a76_D,D,324
7a9e_A,A,379
7a9g_AAA,AAA,549
7a9g_BBB,BBB,537
7a9h_AAA,AAA,545
7a9h_BBB,BBB,546
7a9j_A,A,503
7aa2_A,A,584
7aa2_B,B,585
7aaa_A,A,350
7aaa_B,B,350
7aac_A,A,350
7aac_B,B,350
7aag_A,A,330
7aag_B,B,324
7aag_C,C,322
7aag_D,D,324
7aaj_A,A,323
7aaj_B,B,324
7aak_A,A,345
7aak_B,B,324
7aaq_A,A,487
7aas_A,A,377
7aas_B,B,376
7aas_C,C,377
7aas_D,D,377
7aas_E,E,376
7aas_F,F,377
7aat_A,A,401
7aat_B,B,401
7aba_A,A,391
7aba_B,B,389
7abb_A,A,360
7abe_A,A,330
7abe_B,B,324
7abe_C,C,326
7abe_D,D,324
7abn_A,A,496
7abn_D,D,496
7abn_H,H,494
7abn_M,M,494
7abo_A,A,498
7abo_B,B,496
7abo_C,C,499
7abo_D,D,497
7abp_A,A,305
7abs_A,A,359
7abu_A,A,306
7acg_A,A,457
7acn_A,A,753
7ad2_A,A,364
7ad2_B,B,364
7ad2_C,C,365
7ad2_D,D,366
7ad2_E,E,365
7adg_A,A,330
7adn_A,A,376
7adr_A,A,473
7adr_B,B,465
7adr_D,D,473
7adr_E,E,466
7adw_A,A,305
7ady_A,A,473
7ady_B,B,465
7ady_D,D,473
7ady_E,E,466
7aeg_A,A,305
7aeh_A,A,305
7ael_AAA,AAA,357
7aey_AAA,AAA,379
7af0_A,A,306
7af1_A,A,358
7af2_AAA,AAA,379
7afs_A,A,359
7afu_A,A,357
7aga_A,A,305
7agb_A,A,339
7agb_B,B,339
7agb_C,C,339
7agb_D,D,339
7agc_A,A,339
7agc_B,B,339
7agc_D,D,339
7agc_F,F,339
7agd_A,A,339
7agd_B,B,339
7agd_C,C,339
7agd_D,D,339
7age_A,A,339
7age_B,B,339
7age_D,D,339
7age_F,F,339
7agi_A,A,359
7agz_A,A,386
7agz_B,B,388
7aha_A,A,305
7ahb_A,A,329
7ahb_B,B,329
7ahp_A,A,336
7ai9_A,A,339
7ail_A,A,320
7ais_A,A,532
7ais_B,B,532
7aiu_A,A,532
7aiu_B,B,532
7aiw_A,A,531
7aiw_B,B,532
7aix_A,A,532
7aiz_A,A,473
7aiz_B,B,464
7aiz_D,D,473
7aiz_E,E,465
7aj4_A,A,328
7aj5_A,A,329
7aj8_A,A,329
7ajo_A,A,481
7ak4_AA,AA,306
7aka_A,A,331
7aka_B,B,334
7akl_A,A,329
7akr_AAA,AAA,344
7akr_BBB,BBB,334
7akr_CCC,CCC,344
7akr_DDD,DDD,335
7aks_AAA,AAA,327
7aks_CCC,CCC,334
7aks_EEE,EEE,330
7aks_GGG,GGG,333
7alh_A,A,305
7ali_A,A,306
7ali_B,B,305
7all_AAA,AAA,498
7alr_A,A,425
7alr_B,B,428
7amj_A,A,305
7an1_AAA,AAA,483
7anc_A,A,336
7anc_B,B,314
7ans_A,A,306
7ant_A,A,396
7ant_B,B,400
7anv_A,A,467
7ao1_A,A,302
7ao3_A,A,303
7aol_A,A,306
7ap3_A,A,413
7ap3_B,B,413
7ap6_A,A,306
7ape_A,A,435
7ape_B,B,435
7aph_AA,AA,306
7apl_A,A,373
7apm_A,A,372
7apv_A,A,358
7apy_A,A,586
7apy_B,B,586
7aq0_A,A,586
7aq0_B,B,586
7aq2_A,A,571
7aq2_B,B,581
7aq3_A,A,568
7aq3_B,B,586
7aq4_A,A,586
7aq4_B,B,588
7aq5_A,A,573
7aq5_B,B,586
7aq6_A,A,586
7aq6_B,B,588
7aq7_A,A,586
7aq7_B,B,586
7aq8_A,A,576
7aq8_B,B,586
7aq9_A,A,574
7aq9_B,B,581
7aqa_A,A,585
7aqa_B,B,586
7aqe_A,A,306
7aqf_A,A,370
7aqf_B,B,366
7aqi_A,A,306
7aqu_A,A,525
7aqu_B,B,523
7aqv_A,A,520
7aqv_B,B,530
7aqx_A,A,362
7aqx_B,B,362
7aqy_A,A,354
7aqy_B,B,356
7aqz_A,A,358
7aqz_B,B,361
7ar5_A,A,304
7ar6_A,A,305
7arf_A,A,301
7arg_A,A,356
7arw_A,A,335
7arw_B,B,325
7asg_A,A,592
7at5_A,A,332
7at5_B,B,331
7at9_A,A,328
7atj_A,A,305
7atm_A,A,478
7ato_A,A,503
7atr_A,A,580
7atv_A,A,328
7atw_A,A,493
7atx_A,A,497
7au1_A,A,497
7au4_A,A,305
7au8_A,A,490
7aub_A,A,480
7auc_A,A,493
7auv_A,A,346
7auz_A,A,607
7av0_A,A,607
7av1_A,A,607
7av2_A,A,607
7av4_AAA,AAA,567
7avd_A,A,306
7avd_B,B,306
7avi_A,A,472
7avi_B,B,472
7avl_A,A,472
7avl_B,B,466
7avq_A,A,328
7avt_A,A,466
7avt_B,B,463
7awg_A,A,526
7awr_A,A,306
7aws_A,A,305
7aww_A,A,306
7awy_A,A,311
7awz_A,A,313
7ax6_A,A,306
7axm_A,A,306
7axo_A,A,306
7axq_A,A,313
7axs_A,A,313
7axt_A,A,342
7axu_A,A,313
7axv_A,A,343
7axw_A,A,348
7axx_A,A,309
7ay6_A,A,332
7ay6_B,B,327
7ay7_A,A,306
7ayb_A,A,340
7ayg_A,A,546
7ayg_B,B,546
7ayg_C,C,546
7ayg_D,D,546
7ayg_E,E,546
7ayg_F,F,546
7ayg_G,G,546
7ayg_H,H,546
7ayv_A,A,502
7ayy_AAA,AAA,305
7ayy_BBB,BBB,307
7ayy_CCC,CCC,310
7ayy_DDD,DDD,304
7ayy_EEE,EEE,303
7az5_A,A,368
7az5_B,B,368
7az5_C,C,368
7az5_D,D,368
7az6_A,A,368
7az7_A,A,366
7az8_A,A,366
7az8_B,B,365
7azc_A,A,368
7azc_B,B,365
7azc_C,C,366
7azc_D,D,364
7aze_A,A,368
7aze_B,B,364
7azf_A,A,369
7azf_B,B,369
7azf_C,C,368
7azf_D,D,368
7b02_A,A,593
7b0d_A,A,367
7b0d_B,B,367
7b0l_A,A,351
7b0m_AAA,AAA,368
7b1e_A,A,376
7b1p_A,A,376
7b1q_A,A,378
7b1s_A,A,584
7b1s_B,B,466
7b1s_D,D,586
7b1s_E,E,466
7b2c_A,A,584
7b2c_B,B,466
7b2c_D,D,586
7b2c_E,E,466
7b2i_A,A,366
7b2i_C,C,389
7b2j_A,A,305
7b2t_A,A,342
7b2t_B,B,342
7b2u_A,A,305
7b2u_B,B,305
7b2v_A,A,356
7b2y_A,A,355
7b2z_A,A,345
7b37_A,A,346
7b38_A,A,532
7b3e_A,A,301
7b3e_B,B,301
7b3f_A,A,355
7b3g_A,A,344
7b3h_A,A,343
7b3i_A,A,343
7b3p_A,A,344
7b3x_A,A,344
7b45_A,A,344
7b4i_AAA,AAA,449
7b4i_BBB,BBB,452
7b4j_A,A,449
7b4j_B,B,452
7b4q_A,A,314
7b4q_B,B,314
7b4x_A,A,343
7b50_A,A,343
7b53_A,A,487
7b53_B,B,477
7b55_B,B,308
7b56_B,B,303
7b57_B,B,303
7b58_CCC,CCC,569
7b59_CCC,CCC,569
7b5a_CCC,CCC,569
7b5v_A,A,350
7b5v_B,B,348
7b5z_A,A,305
7b60_A,A,487
7b60_B,B,477
7b61_A,A,480
7b61_B,B,479
7b62_A,A,306
7b68_A,A,492
7b68_B,B,477
7b6b_A,A,346
7b6b_B,B,345
7b6g_AAA,AAA,483
7b6g_BBB,BBB,477
7b6k_A,A,480
7b6k_B,B,477
7b6m_A,A,487
7b6m_B,B,477
7b6n_A,A,487
7b6n_B,B,477
7b6o_A,A,487
7b6o_B,B,477
7b6p_A,A,480
7b6p_B,B,477
7b6q_A,A,478
7b6q_B,B,476
